HEAD_NUM,SITE_NUM,PART_FLG,NUM_TEST,HBIN_NUM,SBIN_NUM,X_COORD,Y_COORD,TEST_T,PART_ID,HBIN_NAM,HBIN_PF,SBIN_NAM,SBIN_PF,CPU_TYPE,STDF_VER,SETUP_T,START_T,STAT_NUM,MODE_COD,RTST_COD,PROT_COD,BURN_TIM,CMOD_COD,LOT_ID,PART_TYP,NODE_NAM,TSTR_TYP,JOB_NAM,JOB_REV,SBLOT_ID,OPER_NAM,EXEC_TYP,EXEC_VER,TEST_COD,TST_TEMP,USER_TXT,AUX_FILE,PKG_TYP,FAMLY_ID,DATE_COD,FACIL_ID,FLOOR_ID,PROC_ID,OPER_FRQ,SPEC_NAM,SPEC_VER,FLOW_ID,SETUP_ID,DSGN_REV,ENG_ID,ROM_COD,SERL_NUM,SUPR_NAM,FINISH_T,DISP_COD,USR_DESC,EXC_DESC,WAFER_ID,file,1000:glxy_SS_IH     <> glxy_pin2,1010:glxy_OSC       <> glxy_pin3,1020:glxy_OUTS      <> glxy_pin4S,1030:glxy_OUTF      <> glxy_pin4F,1040:glxy_VCCS      <> glxy_pin5S,1050:glxy_VCCF      <> glxy_pin5F,1060:glxy_BOOT      <> glxy_pin6,1070:glxy_COMP      <> glxy_pin7,1080:glxy_FB        <> glxy_pin8,1090:glxy_PT        <> glxy_PT,1100:Abs comp       <> ABS_COM,1120:Abs fb         <> ABS_FB,1130:Ref bef zap    <> REF_BE,1132:sim1 ref <> Simule_1,1134:sim2 ref <> Simule_2,1136:sim3 ref <> Simule_3,1138:sim4 ref <> Simule_4,1140:sim5 ref <> Simule_5,1142:sim6 ref <> Simule_6,1144:sim7 ref <> Simule_7,1146:sim8 ref <> Simule_8,1148:sim9 ref <> Simule_9,1150:sim10 ref <> Simule_10,1152:sim11 ref <> Simule_11,1154:sim12 ref <> Simule_12,1156:sim13 ref <> Simule_13,1158:sim14 ref <> Simule_14,1160:sim15 ref <> Simule_15,1170:Ref best     <> REF_BEST_SIM,1175:indice        <> REF_FLAG,1180:Zap current   <> ZAP_REF,1190:Ref aft zap     <> REF,1195:Ref recovery    <> VREF_REC,1200:Ref precision   <> VREF_TGT,1210:Line 8/55v      <> LN_REG,1220:Iq dut_cycle=0  <> IQ,1230:Iq st_by 24v    <> IQ_SBY_24,1240:Iq st_by 55v    <> IQ_SBY_55,1250:Abs supply      <> ABS_VCC,1260:Iq tot          <> IQ_TOT,1270:Freq at 8v      <> FQ_1,1280:Uvlo up th      <> UVLO_UP,1300:Uvlo hysteresis  <> UVLO_HYS,1310:Freq at 55v     <> FQ_2,1320:Freq stability  <> FQ_STAB,1330:Freq max        <> FQ_MAX,1340:I inh low       <> I_IH_LO,1350:Inh th up        <> INH_TH_UP,1360:Inh th down      <> INH_TH_DOWN,1370:Inh hyste        <> INH_HYS,1380:Iss charge      <> SS_ICH,1390:Iss discharge    <> SS_IDCH,1400:Lkg Mos          <> LK_PWR,1410:Abs out          <> OUT_MAX,1420:Abs boot         <> ABS_BOOT,1430:Lkg boot Mos off <> IBOOT_OFF,1440:Lkg boot         <> LKG_BOOT,1450:Drop of the Mos <> DROP_10V,1460:Rds on          <> RDS_ON,1470:Imax bef zap <> IMAX,1500:Imax aft zap   <> IMAX_AFT,1510:Imax precision   <> IMAX_TGT,1520:Max duty cycle  <> MAX_DUT,1550:Osc val 24v     <> OSC_VL24,1560:Osc pk 55v       <> OSC_PK55,1570:Osc pk 8v        <> OSC_PK8,1580:Gain op_loop     <> EA_OLG,1590:Svrr             <> EA_SVRR,1600:Bias EA         <> EA_BIAS,1610:Transcond       <> EA_TRANS,1620:EA swing high   <> EA_SWH,1630:EA swing low <> EA_SWL,1640:Src out I       <> EA_SRC,1650:Sink out I      <> EA_SNK
1,0,8,1,5,5,19,-3,0,1,,,,,1,4,2001-06-05 04:18:06,2001-06-05 15:50:22,1,E, , ,65535,a,GAL-LOT,GOLD8BAR,galaxy-t,A530,mobile-05,16,02,ews,IMAGE V6.3.y2k D8 052200,,E38,,,,,,,,,,,,,,,,,,,,2001-06-05 17:10:08,,,,GAL-LOT-02,lot2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,74,1,1,20,-3,0,2,,,,,1,4,2001-06-05 04:18:06,2001-06-05 15:50:22,1,E, , ,65535,a,GAL-LOT,GOLD8BAR,galaxy-t,A530,mobile-05,16,02,ews,IMAGE V6.3.y2k D8 052200,,E38,,,,,,,,,,,,,,,,,,,,2001-06-05 17:10:08,,,,GAL-LOT-02,lot2,-0.6616406440734863,-0.6501562595367432,-0.6869531273841858,-0.6869531273841858,-0.5492187738418579,-0.5724218487739563,-0.684765636920929,-0.657031238079071,-0.6919531226158142,-0.798828125,-0.0002656250144354999,-2.1340624698495962e-06,3.392812490463257,3.364609479904175,3.282109260559082,3.3102343082427983,3.4184374809265137,3.5034375190734863,3.474062442779541,3.444687604904175,3.358359336853028,3.3871874809265137,3.335234403610229,3.307734489440918,3.391562461853028,3.474062442779541,3.3859374523162837,3.415312528610229,3.364609479904175,1.0,0.8224999904632568,3.365234375,-0.027578124776482586,0.0015578496968373654,0.003250000067055225,0.003098125103861093,0.00011484375136205928,0.0001398437452735379,0.00015859375707805157,0.0031406250782310963,96587.46875,7.199999809265138,0.0,99708.2421875,0.031299084424972534,429937.53125,-6.660312465101015e-06,2.0799999237060547,1.3799999952316284,0.699999988079071,-3.937500150641426e-05,1.010624964692397e-05,-2.812499951687641e-05,-0.01946093700826168,0.00011718749738065525,4.687500040745362e-05,0.0006079687736928463,0.22679688036441806,0.1511979103088379,2.390000104904175,2.390000104904175,-0.04399999976158142,0.982677161693573,0.8600000143051147,9.529999732971193,2.1300001144409184,58.50478744506836,83.23357391357422,2.187968675571028e-06,0.002051281975582242,11.078125,0.12309374660253525,-0.00023253125254996118,0.0002936796809080988
1,0,0,72,1,1,21,-3,0,3,,,,,1,4,2001-06-05 04:18:06,2001-06-05 15:50:22,1,E, , ,65535,a,GAL-LOT,GOLD8BAR,galaxy-t,A530,mobile-05,16,02,ews,IMAGE V6.3.y2k D8 052200,,E38,,,,,,,,,,,,,,,,,,,,2001-06-05 17:10:08,,,,GAL-LOT-02,lot2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,72,1,1,22,-3,0,4,,,,,1,4,2001-06-05 04:18:06,2001-06-05 15:50:22,1,E, , ,65535,a,GAL-LOT,GOLD8BAR,galaxy-t,A530,mobile-05,16,02,ews,IMAGE V6.3.y2k D8 052200,,E38,,,,,,,,,,,,,,,,,,,,2001-06-05 17:10:08,,,,GAL-LOT-02,lot2,-0.6610156297683716,-0.6501562595367432,-0.686328113079071,-0.6900781393051147,-0.5510937571525574,-0.5736718773841858,-0.684765636920929,-0.657031238079071,-0.6919531226158142,-0.798828125,-0.00026062500546686346,-2.084062543872278e-06,3.388437509536743,3.3614842891693115,3.2789843082427983,3.2983593940734863,3.415312528610229,3.4990625381469727,3.4690625667572017,3.4409375190734863,3.354609489440918,3.3827342987060547,3.331484317779541,3.303359270095825,3.383359432220459,3.469687461853028,3.382109403610229,3.411562442779541,3.382109403610229,14.0,0.8309999704360962,3.382109403610229,-0.006328125018626452,0.006580171175301075,0.002762499963864684,0.003128125099465251,0.00012109374802093953,0.0001460937492083758,0.00016484374646097422,0.003203124972060323,96556.828125,,,99687.0625,0.0314006507396698,430128.96875,-6.7815626607625745e-06,2.0799999237060547,1.3799999952316284,0.699999988079071,-4.122500104131177e-05,9.931250133377034e-06,-2.812499951687641e-05,-0.02018750086426735,0.00011718749738065525,4.812499901163392e-05,0.0006192187429405749,0.2274218797683716,0.15161457657814026,2.4300000667572017,2.4300000667572017,-0.02800000086426735,0.9827044010162354,0.8600000143051147,9.529999732971193,2.1300001144409184,58.86772537231445,82.7131576538086,2.1850000848644413e-06,0.0021052630618214607,11.1381254196167,0.123843751847744,-0.00023246875207405537,0.0002913671778514981
1,0,0,72,1,1,23,-3,0,5,,,,,1,4,2001-06-05 04:18:06,2001-06-05 15:50:22,1,E, , ,65535,a,GAL-LOT,GOLD8BAR,galaxy-t,A530,mobile-05,16,02,ews,IMAGE V6.3.y2k D8 052200,,E38,,,,,,,,,,,,,,,,,,,,2001-06-05 17:10:08,,,,GAL-LOT-02,lot2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,72,1,1,24,-3,0,6,,,,,1,4,2001-06-05 04:18:06,2001-06-05 15:50:22,1,E, , ,65535,a,GAL-LOT,GOLD8BAR,galaxy-t,A530,mobile-05,16,02,ews,IMAGE V6.3.y2k D8 052200,,E38,,,,,,,,,,,,,,,,,,,,2001-06-05 17:10:08,,,,GAL-LOT-02,lot2,-0.6610156297683716,-0.6501562595367432,-0.686328113079071,-0.6900781393051147,-0.5510937571525574,-0.5736718773841858,-0.6853906512260437,-0.657031238079071,-0.6919531226158142,-0.7969531416893005,-0.0002643750049173832,-2.0640625280066156e-06,3.387812614440918,3.358984470367432,3.2783594131469727,3.3058593273162837,3.414687395095825,3.4984374046325684,3.4684374332427983,3.440312385559082,3.3539843559265137,3.3827342987060547,3.3308594226837163,3.303359270095825,3.3865625858306885,3.4690625667572017,3.381484270095825,3.4109375476837163,3.381484270095825,14.0,0.8262187242507935,3.381484270095825,-0.006328125018626452,0.0063941590487957,0.0030624999199062586,0.0031406250782310963,0.00012109374802093953,0.0001460937492083758,0.00015859375707805157,0.003178125014528632,97040.2265625,,,99654.765625,0.02623598836362362,430383.84375,-6.7403125285636625e-06,2.0999999046325684,1.3799999952316284,0.7200000286102295,-4.149999949731864e-05,9.956250323739368e-06,-2.8750000637955964e-05,-0.02042499929666519,0.00011718749738065525,4.812499901163392e-05,0.0006160937482491137,0.2274218797683716,0.15161457657814026,2.450000047683716,2.450000047683716,-0.019999999552965164,0.981861174106598,0.8600000143051147,9.529999732971193,2.1300001144409184,58.87832260131836,82.7131576538086,2.2132812773634214e-06,0.0021621622145175934,11.153124809265137,0.12159375101327895,-0.00023672656971029937,0.0003001249860972166
1,0,8,32,8,8,25,-3,0,7,,,,,1,4,2001-06-05 04:18:06,2001-06-05 15:50:22,1,E, , ,65535,a,GAL-LOT,GOLD8BAR,galaxy-t,A530,mobile-05,16,02,ews,IMAGE V6.3.y2k D8 052200,,E38,,,,,,,,,,,,,,,,,,,,2001-06-05 17:10:08,,,,GAL-LOT-02,lot2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,74,1,1,26,-3,0,8,,,,,1,4,2001-06-05 04:18:06,2001-06-05 15:50:22,1,E, , ,65535,a,GAL-LOT,GOLD8BAR,galaxy-t,A530,mobile-05,16,02,ews,IMAGE V6.3.y2k D8 052200,,E38,,,,,,,,,,,,,,,,,,,,2001-06-05 17:10:08,,,,GAL-LOT-02,lot2,-0.6610156297683716,-0.6501562595367432,-0.6857030987739563,-0.6907031536102295,-0.5517187714576721,-0.5742968916893005,-0.6853906512260437,-0.657031238079071,-0.6919531226158142,-0.7957031130790709,-0.0002656250144354999,-2.007812554438715e-06,3.387812614440918,3.3608593940734863,3.2783594131469727,3.305234432220459,3.414687395095825,3.4984374046325684,3.4690625667572017,3.440312385559082,3.3402342796325684,3.3827342987060547,3.3308594226837163,3.303359270095825,3.3865625858306885,3.4690625667572017,3.380859375,3.4103124141693115,3.380859375,14.0,0.8268906474113464,3.381484270095825,-0.006328125018626452,0.0063941590487957,0.0031125000678002834,0.003128125099465251,0.00011484375136205928,0.0001460937492083758,0.00015859375707805157,0.0031656250357627873,96781.515625,7.199999809265138,0.0,99682.59375,0.029103102162480358,430249.3125,-6.599062544410117e-06,2.0799999237060547,1.3799999952316284,0.699999988079071,-4.2250001570209854e-05,1.0281250069965608e-05,-2.8750000637955964e-05,-0.0205875001847744,0.00011718749738065525,4.687500040745362e-05,0.00061359372921288,0.2274218797683716,0.15161457657814026,2.470000028610229,2.470000028610229,-0.012000000104308128,0.98188978433609,0.8600000143051147,9.529999732971193,2.1300001144409184,58.79391479492188,82.28204345703125,2.046250074272393e-06,0.0021621622145175934,11.140625,0.12259375303983687,-0.00023735155991744247,0.0002964921877719462
1,0,8,37,2,2,27,-3,0,9,,,,,1,4,2001-06-05 04:18:06,2001-06-05 15:50:22,1,E, , ,65535,a,GAL-LOT,GOLD8BAR,galaxy-t,A530,mobile-05,16,02,ews,IMAGE V6.3.y2k D8 052200,,E38,,,,,,,,,,,,,,,,,,,,2001-06-05 17:10:08,,,,GAL-LOT-02,lot2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,74,1,1,28,-3,0,10,,,,,1,4,2001-06-05 04:18:06,2001-06-05 15:50:22,1,E, , ,65535,a,GAL-LOT,GOLD8BAR,galaxy-t,A530,mobile-05,16,02,ews,IMAGE V6.3.y2k D8 052200,,E38,,,,,,,,,,,,,,,,,,,,2001-06-05 17:10:08,,,,GAL-LOT-02,lot2,-0.6610156297683716,-0.6501562595367432,-0.6857030987739563,-0.6907031536102295,-0.5523437261581421,-0.5749218463897705,-0.6853906512260437,-0.657031238079071,-0.6919531226158142,-0.7957031130790709,-0.0002656250144354999,-2.0378124645503704e-06,3.387812614440918,3.3608593940734863,3.2783594131469727,3.3058593273162837,3.414687395095825,3.4990625381469727,3.4690625667572017,3.440312385559082,3.354609489440918,3.3827342987060547,3.3308594226837163,3.302734375,3.3865625858306885,3.469687461853028,3.381484270095825,3.4109375476837163,3.381484270095825,14.0,0.8238593935966492,3.381484270095825,-0.006328125018626452,0.0063941590487957,0.002937499899417162,0.0031531250569969416,0.00012109374802093953,0.0001460937492083758,0.00015859375707805157,0.003190624993294477,96650.6171875,7.199999809265138,0.0,99648.5703125,0.030085263773798943,429646.34375,-6.5190624809474684e-06,2.0799999237060547,1.3600000143051147,0.7200000286102295,-4.212500061839819e-05,1.0081250366056336e-05,-2.8750000637955964e-05,-0.02054999954998493,0.00011718749738065525,4.812499901163392e-05,0.000622968771494925,0.2274218797683716,0.15161457657814026,2.450000047683716,2.450000047683716,-0.019999999552965164,0.9826908111572266,0.8600000143051147,9.529999732971193,2.1300001144409184,58.95285415649414,83.13773345947266,2.162343662348576e-06,0.0021621622145175934,11.150625228881836,0.12159375101327895,-0.00023866405535954985,0.0003004999889526516
